"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Josh Jacobs","18","23.7","0.24","7","GB","RB","7","","9ecd270d-e314-466e-8cff-126385d8a9e9"
"Jonathan Taylor","19","21.2","0.1","6","IND","RB","8","","a93a8358-f3eb-4a07-9a85-a13a0b2427a2"
"De'Von Achane","20","15.7","-0.34","15","MIA","RB","9","","9a97b0b2-fda2-4d87-8392-50b32ea6fcd3"
"Trey McBride","21","25.8","0.11","60","ARI","TE","1","","d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21"
"Brock Bowers","22","18.4","-0.36","52","LV","TE","2","","d98df6de-a814-477a-bd9b-b6a747f32ab4"
"Ladd McConkey","23","20","-0.1","33","LAC","WR","12","","f41070b3-c28d-4cff-afb4-6bae844edabf"
"Bucky Irving","24","21","0.05","32","TB","RB","10","","1bc16f8e-964e-4946-b3da-bd7b7fe8731e"
"Chase Brown","25","19.9","-0.21","22","CIN","RB","11","","221733f8-7235-4b9e-a2cd-45dad292e33b"
"Lamar Jackson","26","29.7","0.12","24","BAL","QB","1","","c3c29d05-6c66-4726-b2b3-01f5323a8087"
"Josh Allen","27","28.7","0.06","30","BUF","QB","2","","0467ab97-0708-4a95-88ef-124455ac4ac1"
"Tyreek Hill","28","24.7","-0.13","78","MIA","WR","13","","d8aca1d5-8318-4ada-9cf1-18ef1b60b464"
"Omarion Hampton","29","28.5","-0.02","","LAC","RB","12","Rookie","fd373123-6fc9-4e2c-829c-9879ae96caea"
"Jayden Daniels","30","38.2","0.21","39","WAS","QB","3","","09d74295-61f2-4824-b49b-f1c677be0763"
"George Kittle","31","36.5","0.15","36","SF","TE","3","","6d78912a-4699-4228-9e18-621c213202a7"
"James Cook","32","40.5","0.21","11","BUF","RB","13","","cf7f210d-aa77-4481-a6ce-def8eb13c4a7"
"Jalen Hurts","33","43.7","0.24","49","PHI","QB","4","","a547b04a-38e6-435e-9f9d-81a34e7aac6c"
"Mike Evans","34","34","0","17","TB","WR","14","","c72e9110-c8be-4bcf-a567-d78c9f3073d1"
"Davante Adams","35","34.5","-0.01","27","LA","WR","15","","3bca74ae-aea9-4b96-9cfa-ba6320a9dca6"
"Garrett Wilson","36","33.1","-0.09","57","NYJ","WR","16","","146fb59c-b8ff-414a-86a7-3c2e612a81c0"
"Jaxon Smith-Njigba","37","32.2","-0.15","44","SEA","WR","17","","e92d0ab0-3f60-456a-a57f-b689b8107c7a"
"George Pickens","38","42.5","0.11","86","DAL","WR","18","","7db4138f-109b-4b32-8c1b-cd51a4c12d1f"
"Xavier Worthy","39","39.8","0.02","47","KC","WR","19","","4122e07d-fe79-4816-9292-4f6a94b00cbc"
"Kenneth Walker III","40","48.4","0.17","26","SEA","RB","14","","ffbb0124-5050-4795-b305-591cb44a8490"
"Alvin Kamara","41","57.5","0.29","10","NO","RB","15","","d2928ec9-ae89-4894-aded-09b6602cf28e"
"Kyren Williams","42","32.3","-0.3","14","LA","RB","16","","48699f93-77e6-48ee-93cc-df880846796f"
"Chuba Hubbard","43","55.1","0.22","16","CAR","RB","17","","a8c3cb2b-7728-4ee0-8f89-f218e5e0c409"
"James Conner","44","60.3","0.27","19","ARI","RB","18","","c43f5ce9-2f01-49df-83cb-c198ca9c49c8"
"Tetairoa McMillan","45","39.6","-0.14","","CAR","WR","20","Rookie","c00d3668-c5ca-41be-bbb3-30e421920276"
"Marvin Harrison","46","30","-0.53","74","ARI","WR","21","","799eb40c-a66a-4fd8-a8e3-186fc3f20ccb"
"Terry McLaurin","47","42.1","-0.12","23","WAS","WR","22","","bdbd91c4-8792-4056-a4b1-dabc074aa580"
"Calvin Ridley","48","52","0.08","88","TEN","WR","23","","2c4e3e6e-667c-44c3-8083-bfd11b1fd7a8"
"Emeka Egbuka","49","62.4","0.21","","TB","WR","24","Rookie","a41974fe-71b2-408e-847d-86405b104654"
"Travis Hunter","50","55.6","0.1","","JAX","WR","25","Rookie","d8c923f8-3ccf-49c2-895a-c58ad280c088"
"Jaylen Waddle","51","54.2","0.06","136","MIA","WR","26","","506c6382-05b9-4090-ada6-aa977ab6afca"
"Courtland Sutton","52","49.4","-0.05","54","DEN","WR","27","","7601e2e8-add1-4c8c-b169-b63a49fdf57b"
"Breece Hall","53","42.6","-0.24","35","NYJ","RB","19","","0f31f57a-5461-4802-811e-f84fde65f9b5"
"DeVonta Smith","54","51.1","-0.06","48","PHI","WR","28","","4bb0512e-9cfd-430d-9742-1fff9f043b18"
"DK Metcalf","55","48.8","-0.13","82","PIT","WR","29","","30669c4d-f918-49b2-9f5b-8bd47016d097"
"Zay Flowers","56","56.5","0.01","80","BAL","WR","30","","655f249b-461d-426c-97c7-efc20870c660"
"Matthew Golden","57","69.1","0.18","","GB","WR","31","Rookie","53ef4d2b-2f6f-4b63-b1bc-a76c109cf4c4"
"Rashee Rice","58","53","-0.09","","KC","WR","32","4-6 game suspension likely","f1e0fe78-af51-4e41-9f58-a8146a69c5a9"
"Joe Burrow","59","62.9","0.06","41","CIN","QB","5","","08681b3b-8775-4637-84fa-e23da96e59f6"
"TreVeyon Henderson","60","47.5","-0.26","","NE","RB","20","Rookie","e04ddd15-a5ab-41e8-82b2-3dfc90a2c893"
"Tony Pollard","61","73.8","0.17","62","TEN","RB","21","","5c510a1a-d9f3-47c5-8c7f-c9c7d0968dd5"
"Jauan Jennings","62","72.5","0.06","53","SF","WR","33","","2d542871-3989-447d-89e6-9dcfbd6894e6"
"D.J. Moore","63","47.1","-0.32","70","CHI","WR","34","","47f49002-0e7d-4f51-9a15-525ef6397fde"
"Jameson Williams","64","45.4","-0.43","51","DET","WR","35","","c3a3bd66-d55d-44f7-98f6-78450678fa87"
"Rome Odunze","65","62.7","-0.07","145","CHI","WR","36","","be004901-0a0f-41cd-ab83-c0d8d7ad916d"
"Ricky Pearsall","66","61.1","-0.13","92","SF","WR","37","","812a947e-6ecc-43ce-9572-ac9da7cc4bcb"
"Chris Olave","67","65.9","-0.06","98","NO","WR","38","","1b2c7c20-e458-454d-be39-7aaebabf1e30"
"Deebo Samuel","68","64.7","-0.1","94","WAS","WR","39","","533aaf00-6105-4dc7-9e32-ee6e0e78a66a"
"Jakobi Meyers","69","71.5","0.12","69","LV","WR","40","","6d09867d-203b-4d91-975c-128125e7cf89"
"Jerry Jeudy","70","70.3","0.09","55","CLE","WR","41","","c34084aa-c044-4695-81ee-6328f98c591c"
"Stefon Diggs","71","69.1","-0.04","50","NE","WR","42","","e57459d1-a8ea-4e55-909d-06b378e09b02"
"Patrick Mahomes","72","83.1","0.21","114","KC","QB","6","","4808cc03-7e41-4c33-974f-a1701a98324c"
"Isiah Pacheco","73","71.5","-0.02","172","KC","RB","22","","467dd20b-81e4-42a3-837a-ed937702925e"
"David Montgomery","74","75.1","0.01","31","DET","RB","23","","e4bcd565-12d4-4b4c-91b1-1b72541b24e2"
"Aaron Jones","75","81.2","0.08","45","MIN","RB","24","","f50101bc-fbfa-4a82-a625-c11c479cfbe8"
"RJ Harvey","76","59.6","-0.28","","DEN","RB","25","Rookie","fbc4cce8-3964-402c-a0a6-dbe13b5ebd86"
"D'Andre Swift","77","68.8","-0.12","63","CHI","RB","26","","94224657-62c9-4238-86f2-ba2c07ce0e4b"
"Travis Kelce","78","94.5","0.17","89","KC","TE","4","","bbd7c5bc-808f-4c97-80e1-6029515ff8bc"
"Sam LaPorta","79","76.3","-0.04","103","DET","TE","5","","a259e591-fec1-4185-a0b2-43a434cc9f49"
"Jordan Addison","80","73.5","-0.09","43","MIN","WR","43","1-3 game suspension likely","411b0cfe-9139-43a5-a95c-748758368d75"
"Josh Downs","81","84.2","0.04","67","IND","WR","44","","2965705e-121c-4f6f-a67e-200c1f221343"
"Darnell Mooney","82","101.5","0.19","71","ATL","WR","45","","eefaafc6-b10a-4794-a6dc-4233a1c2263f"
"Rashid Shaheed","83","105","0.15","40","NO","WR","46","","8c7f9176-18b8-4f59-bc46-2c14a60bfed8"
"Kaleb Johnson","84","76.3","-0.09","","PIT","RB","27","Rookie","ea213cff-af5a-4902-b17d-14591284ccac"
"Brock Purdy","85","102.2","0.18","97","SF","QB","7","","a9944d33-2618-448b-9dfb-73b9a43b1296"
"Bo Nix","86","98.1","0.13","99","DEN","QB","8","","bfa23971-1c74-42b7-a7da-cf3bb80a1355"
"Kyler Murray","87","96.9","0.11","108","ARI","QB","9","","017dad8b-5da7-4e17-a567-10e147fbb7c7"
"Mark Andrews","88","97","0.1","96","BAL","TE","6","","f52f0cdf-de38-4cd9-a5c9-b54b2958ea05"
"T.J. Hockenson","89","86.1","-0.02","153","MIN","TE","7","","4ddaf397-6424-4910-b9ec-49aef1d2b69a"
"Tucker Kraft","90","115.2","0.2","118","GB","TE","8","","48dddfc4-9fbb-49f7-93ca-49b5bad5b640"
"Colston Loveland","91","110.6","0.16","","CHI","TE","9","Rookie","72f1fd78-4146-4527-8de9-823b13309425"
"Tyler Warren","92","96.3","0.02","","IND","TE","10","Rookie","59cd0550-2714-465f-a640-99957e7fc514"
"Michael Pittman Jr.","93","92.4","-0.03","122","IND","WR","47","","1589e799-5723-4f51-a99a-817c1f5d9a61"
"Travis Etienne Jr.","94","104.1","0.14","182","JAX","RB","28","","fb9df616-a7a2-4339-ab1a-b3e5dfd2278b"
"Zach Charbonnet","95","102.3","0.11","77","SEA","RB","29","","39526890-3152-4899-a948-99f0a9858b6f"
"Jayden Reed","96","80","-0.2","83","GB","WR","48","","f234f298-dc09-48a1-8198-168a9c25c28c"
"Keon Coleman","97","90.8","-0.07","169","BUF","WR","49","","d94128a2-2821-4fe3-95ee-ad6a026b85cb"
"Cooper Kupp","98","98.8","0.01","46","SEA","WR","50","","c0c80e9d-fe68-441d-90d4-b5828752b9c7"
"J.K. Dobbins","99","100.8","0","42","DEN","RB","30","","fb971e03-d484-4d81-982d-0e0af12179e6"
"Cam Skattebo","100","117.1","0.15","","NYG","RB","31","Rookie","45040fd6-c586-4f05-b4a5-35e32042f5c8"
"Dylan Sampson","101","143.2","0.31","","CLE","RB","32","Rookie","032a165a-b343-4c8f-a56f-8fc47d2a4a07"
"Jordan Mason","102","84.4","-0.21","87","MIN","RB","33","","85474863-13c5-412b-a5fd-cebdd1383524"
"Khalil Shakir","103","83.9","-0.23","113","BUF","WR","51","","55ba823b-3e25-4a1d-922d-9c622a052aaf"
"Keenan Allen","104","126","0.17","66","LAC","WR","52","","8086a0ab-51d0-4510-af6e-34603b9ad807"
"Evan Engram","105","105.8","0.01","180","DEN","TE","11","","43e1dda1-d83d-4da9-a11a-e6c4b714e102"
"Baker Mayfield","106","93.4","-0.13","56","TB","QB","10","","12a4ad78-4491-4aa3-8373-0fa48356c7f7"
"Dak Prescott","107","104.7","-0.02","162","DAL","QB","11","","1a3c579b-489d-476c-8e92-96396daccfa2"
"Caleb Williams","108","112.9","0.04","124","CHI","QB","12","","a6e88774-89df-4886-b850-16c63473fcbe"
"Jaylen Warren","109","88.8","-0.23","177","PIT","RB","34","","d8c284a1-8746-41fc-bd8e-fbfb20bf2e92"
"Tyrone Tracy","110","89.8","-0.22","81","NYG","RB","35","","c8fd58f1-4635-46b0-9727-6cdd493a63a0"
"Justin Herbert","111","126.6","0.12","141","LAC","QB","13","","37bd88b0-b695-4a09-a0e9-fc29f6c14dfd"
"Justin Fields","112","107.6","-0.04","148","NYJ","QB","14","","69a1328c-ef69-41a4-a9c6-9ef0f96179f0"
"Drake Maye","113","111.4","-0.01","262","NE","QB","15","","1fd437b3-ec8a-40ff-af9b-bdeb9e195111"
"Jared Goff","114","119.7","0.05","68","DET","QB","16","","a889c484-29f2-47ac-805b-49691067644b"
"Dalton Kincaid","115","130.5","0.12","258","BUF","TE","12","","8e3162f9-5b76-46e8-b189-777db6212f8b"
"Rhamondre Stevenson","116","125.4","0.07","61","NE","RB","36","","9a1d9082-34b9-40f4-8e3c-330caa3fa989"
"Joe Mixon","117","99.4","-0.18","8","HOU","RB","37","","9da4da3d-00e5-494d-9b92-dd875a92a9c1"
"Rashod Bateman","118","114.2","-0.03","91","BAL","WR","53","","a539369c-22ad-4d91-b5b9-a616d39018b8"
"Marvin Mims Jr.","119","122.6","0.03","107","DEN","WR","54","","e7384056-0c8d-48b5-8ece-43a68ad9d200"
"Christian Kirk","120","118.5","-0.01","151","HOU","WR","55","","e35cb821-a7ae-41d8-a7c1-3fb43082b786"
"Jordan Love","121","127.4","0.05","173","GB","QB","17","","86d70c50-1438-435a-be56-17fc097d2763"
"David Njoku","122","120.3","-0.01","75","CLE","TE","13","","96103fd4-acc7-4dba-adcf-ae140cf7d983"
"Brandon Aiyuk","123","118.9","-0.03","157","SF","WR","56","Torn ACL + MCL","7eba46a1-1484-4352-b7f8-480163694c25"
"Jayden Higgins","124","90.3","-0.37","","HOU","WR","57","Rookie","6f51ed2b-b312-4ac8-a02b-f791528ab5eb"
"Chris Godwin","125","94.3","-0.33","13","TB","WR","58","Dislocated ankle","d0d1514c-26e3-405f-84de-8072bc2b0fa7"
"Braelon Allen","126","137.3","0.08","217","NYJ","RB","38","","84f0a2d4-81a1-424b-a516-172e02cd82e3"
"Ray Davis","127","132.7","0.04","146","BUF","RB","39","","216c2a61-381c-4520-a163-a8af32943fb9"
"Jacory Croskey-Merritt","128","128.3","0","","WAS","RB","40","Rookie","f47f5778-3c4d-4320-a4f9-cb57a229024a"
"Javonte Williams","129","135.5","0.05","130","DAL","RB","41","","af512904-a1c9-4f40-ac9b-3f04329bc6b8"
"Austin Ekeler","130","154.2","0.16","115","WAS","RB","42","","566b0f64-6a4f-4882-aa36-99d15ce990f5"
"Bhayshul Tuten","131","132.9","0.01","","JAX","RB","43","Rookie","ae822ce4-b4ff-4b53-bf83-be036fe15dd2"
"Tank Bigsby","132","124.2","-0.06","95","JAX","RB","44","","91edd6d6-bd65-4571-8713-41fc3cd2eb92"
"C.J. Stroud","133","132.8","0","269","HOU","QB","18","","d97eb184-b572-477a-98c8-e918a0bf1c66"
"Trevor Lawrence","134","129.8","-0.03","206","JAX","QB","19","","01b46905-02f2-4016-a320-7cc36b5d1afc"
"Dallas Goedert","135","139.5","0.03","123","PHI","TE","14","","315ad6ba-764f-4118-9deb-03720308a0c2"
"Jake Ferguson","136","135.5","0","228","DAL","TE","15","","5336c84a-59d1-4502-b26c-a9a7a5683195"
"Tyler Allgeier","137","154.7","0.09","212","ATL","RB","45","","00403734-5e69-424c-974e-ceefbc335618"
"Brian Robinson Jr.","138","107.2","-0.78","72","SF","RB","46","","d163492c-f926-4cb9-96fc-b93759e92541"
"Will Shipley","139","175.8","0.19","193","PHI","RB","47","","f69a3a63-744a-4568-a158-b69f0d5e4eb6"
"Bryce Young","140","149.3","0.08","117","CAR","QB","20","","04c979d6-83b7-40dc-83fc-ed4db79ce5f9"
"Cedric Tillman","141","152","0.09","93","CLE","WR","59","","be28ffd2-9c10-44fd-937a-0dd5fa9f22c9"
"Romeo Doubs","142","150","0.07","137","GB","WR","60","","c27b2fd7-45a7-409c-9973-3346fd3062fc"
"Darius Slayton","143","191.7","0.27","167","NYG","WR","61","","bdecac5a-bd13-4a2c-94c8-4ff12c29d50a"
"Kyle Pitts","144","139.5","-0.03","152","ATL","TE","16","Trade Candidate","baf94a12-0921-4655-9b10-12b59b77c57c"
"Chig Okonkwo","145","167.3","0.14","221","TEN","TE","17","","2a65964a-1345-435e-998e-ee29adf6d251"
"Luther Burden","146","111.7","-0.3","","CHI","WR","62","Rookie","9df8f9e8-d362-46e0-be35-502442b747e6"
"Hollywood Brown","147","145.2","-0.01","","KC","WR","63","","27c2ab08-d88c-427a-b0d3-cf0ba47af2f7"
"Joshua Palmer","148","137.6","-0.07","244","BUF","WR","64","","6dc7832f-45d2-4ae6-8c6a-3595e185a18e"
"Xavier Legette","149","161.8","0.09","179","CAR","WR","65","","a18e7872-b3df-4c74-8130-feb720a928c1"
"J.J. McCarthy","150","124.2","-0.2","","MIN","QB","21","","78a6939e-5faf-45ed-98f2-674a84e65045"
"Rico Dowdle","151","175.3","0.14","65","CAR","RB","48","","a07ec2e7-a9ff-4797-8b81-e97de03a6a51"
"Tyjae Spears","152","146.5","-0.03","101","TEN","RB","49","","76809c5a-f06d-479a-a218-f22ee3e13a83"
"Trey Benson","153","137.5","-0.11","248","ARI","RB","50","","9ee85b14-7fae-4772-b58f-fa2922f230ef"
"Michael Penix","154","142.3","-0.08","","ATL","QB","22","","a6b061d0-7d58-45b0-8539-c0dd60cb26f9"
"Geno Smith","155","161.7","0.05","168","LV","QB","23","","2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a"
"Cam Ward","156","151.6","-0.02","","TEN","QB","24","Rookie","ff6b158c-6ff5-45c7-879e-32086288c5fb"
"Dameon Pierce","157","214.2","0.27","","HOU","RB","51","","75ed17a8-5d4f-4007-957b-0a6733ddf392"
"Nick Chubb","158","166.6","0.06","","HOU","RB","52","","6958938f-e1b1-4a04-9277-0d13ce07df21"
"Najee Harris","159","160.2","-0.04","90","LAC","RB","53","","3a9a963f-6618-40ac-93c6-96ea04cb223f"
"Tua Tagovailoa","160","156.3","-0.01","111","MIA","QB","25","","bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e"
"Sam Darnold","161","180.2","0.12","109","SEA","QB","26","","afb9a9f4-bacd-46f5-ad31-80b2427eae28"
"Mason Taylor","162","184","0.13","","NYJ","TE","18","Rookie","a6ce2c32-ead2-45cf-8add-22978d63a07e"
"Quinshon Judkins","163","134.1","-0.2","","CLE","RB","54","Rookie","513473ee-8e3f-48d1-a0fc-a4f77bc195b9"
"Kyle Williams","164","145.9","-0.11","","NE","WR","66","Rookie","d1bb13ec-b37e-420c-b9f5-e76698cb6b2b"
"Demario Douglas","165","147.3","-0.11","170","NE","WR","67","","63cbde87-5fd3-410c-9c64-2185510182ef"
"Rachaad White","166","162.2","-0.01","58","TB","RB","55","","9012f171-568e-4292-94ba-f4b308eac941"
"Hunter Henry","167","158.9","-0.05","158","NE","TE","19","","24e943a8-7926-4012-9d7e-138315b764cd"
"Theo Johnson","168","207.6","0.19","251","NYG","TE","20","","3349f39b-9dd6-42f3-a50c-8f7e8134d2bf"
"DJ Giddens","169","201.3","0.16","","IND","RB","56","Rookie","5187785b-3707-4207-aee0-a55778dfb9a1"
"Roschon Johnson","170","197.9","0.14","219","CHI","RB","57","","3e43e336-3c1d-430f-8961-701e685e8d5d"
"Jerome Ford","171","173.2","0.01","112","CLE","RB","58","","47a14de7-342a-4a2d-b5ea-2e4cca880e67"
"Isaiah Likely","172","171.9","0","126","BAL","TE","21","","427d8203-aea8-4b01-972f-039aa0baa0c3"
"Jonnu Smith","173","180.2","0.04","64","PIT","TE","22","","c6ad3f37-27db-4232-99cc-aeed22777e85"
"Cade Otton","174","180.3","0.03","120","TB","TE","23","","027fe218-a84a-450c-a89d-7ad6c4cf94b9"
"Dalton Schultz","175","211.3","0.17","231","HOU","TE","24","","ba19979f-896f-429f-89b1-0280ab4b6052"
"Brenton Strange","176","153","-0.15","242","JAX","TE","25","","951df6a2-c1b0-499f-819e-67798c2cc6a2"
"Zach Ertz","177","162.8","-0.09","110","WAS","TE","26","","44a906d5-b179-45f9-b69f-281595bea71d"
"Matthew Stafford","178","177.7","0","183","LA","QB","27","","50be3583-2a3d-455a-91ce-ba6959783642"
"Daniel Jones","179","204.4","0.12","189","IND","QB","28","","0b920098-c972-4e90-9e89-7430232e7567"
"Jaxson Dart","180","205.5","0.12","","NYG","QB","29","Rookie","0e7d3cb4-f568-41e0-88e6-7812989ae958"
"Aaron Rodgers","181","198","0.09","165","PIT","QB","30","","1bd33029-b88d-43fa-998e-775a6741a5e7"
"Michael Wilson","182","193.7","0.06","209","ARI","WR","68","","9e0a17b1-fda3-4066-aa3c-4f742588536c"
"Jalen Coker","183","195.7","0.06","138","CAR","WR","69","","c9e2cfc7-8db1-49ab-944b-61108f687aca"
"Quentin Johnston","184","183.8","0","76","LAC","WR","70","","82b3392d-0403-4cc7-9adc-8881b1647655"
"Dyami Brown","185","186","0.01","195","JAX","WR","71","","9f137949-d162-475c-bf95-9d43e7d58824"
"Blake Corum","186","212.5","0.12","","LA","RB","59","","e34d874e-3fef-4059-887e-33a2485c13b6"
"Ollie Gordon","187","180.7","-0.04","","MIA","RB","60","Rookie","831716ac-821d-4b07-8f37-36886cc43843"
"Jaylen Wright","188","187.7","0","303","MIA","RB","61","","fa1a54e5-4c1c-45b8-9e9a-3c1568a28d6b"
"Chris Rodriguez","189","198.9","0.05","","WAS","RB","62","","a7f67b7a-1598-48d5-b9bc-b7921b03f5c7"
"Keaton Mitchell","190","186.3","-0.02","","BAL","RB","63","","b760285b-f146-44b7-91a6-80b79734aa3a"
"Kendre Miller","191","215.3","0.11","","NO","RB","64","","5f9ab9ae-8374-4dca-8ff1-660f399c587c"
"Tahj Brooks","192","202.1","0.04","","CIN","RB","65","Rookie","10b8eca4-c667-4927-a2ab-e24021ad18a5"
"Isaac Guerendo","193","167","-0.155688623","106","SF","RB","66","","5517771d-f8e5-4ab2-b023-c06057b9d12a"
"Harold Fannin","194","205.9","0.06","","CLE","TE","27","Rookie","2d084934-667e-4903-b462-a33b9041291d"
"Miles Sanders","195","211.7","0.08","","DAL","RB","67","","f24adb34-5412-4edf-95ff-6b68e5fbd41d"
"Jaydon Blue","196","143.5","-0.37","","DAL","RB","68","Rookie","e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c"
"DeAndre Hopkins","197","201.9","0.02","142","BAL","WR","72","","54ad314c-d98a-4087-9831-d9fe55233e1c"
"Tre Tucker","198","211.9","0.07","154","LV","WR","73","","aaefaf37-9d15-4306-ad32-8f6245e98a4d"
"Dont'e Thornton","199","163.1","-0.22","","LV","WR","74","Rookie","7062199b-47a5-4de1-bc7d-22640861b406"
"Troy Franklin","200","201.5","0.01","","DEN","WR","75","","ec3a92be-ca46-44e1-8263-9c184ba313c1"
"Alec Pierce","201","194.9","-0.03","84","IND","WR","76","","bc9e2c1b-6bb4-4bc9-84af-202f71c65de7"
"Adam Thielen","202","172.7","-0.17","59","CAR","WR","77","","1cc825d2-4975-4afe-a47d-b69f0e57cbc1"
"Jaylin Noel","203","205.7","0.01","","HOU","WR","78","Rookie","3dbcda8c-adc6-4d3e-9ed8-12b7581aa0ba"
"Pat Bryant","204","178","-0.15","","DEN","WR","79","Rookie","e0d74144-6bd8-467f-b5a6-de01ef683097"
"Wan'Dale Robinson","205","167.7","-0.22","164","NYG","WR","80","","42be1a8b-6bdd-4bda-a857-3a01bbc6aeac"
"Elic Ayomanor","206","194.5","-0.13","","TEN","WR","81","Rookie","e62e6781-add8-4eaa-9713-1448b8ff72a5"
"Russell Wilson","207","213.4","0.03","166","NYG","QB","31","","0a189fd2-3410-4074-a5c6-0197f8d4041c"
"Ja'Tavion Sanders","208","195.5","-0.06","274","CAR","TE","28","","5357fee8-c779-4442-8e21-286ad59d4cbd"
"Mike Gesicki","209","195.3","-0.07","132","CIN","TE","29","","a228fb38-ae0f-469d-984a-a7a3a904020d"
"Juwan Johnson","210","213.5","0.02","210","NO","TE","30","","10b27c42-0621-472d-bfa7-3f6c598980be"
"Darren Waller","211","211.7","0.01","","MIA","TE","31","","0126a927-560d-4751-9de5-9aee8a3a8a67"
"AJ Barner","212","215.7","0.02","","SEA","TE","32","","338b1d80-95b2-4f28-be69-f3967544c1e7"
"Joe Flacco","213","214.3","0.01","199","CLE","QB","32","","868448b8-f53a-4c9e-a15d-8ed8f40b27d4"
"Anthony Richardson","214","195.5","-0.09","129","IND","QB","33","","ab78a171-01c4-457c-aa8c-7fd835bff986"
"Isaac TeSlaa","215","190.6","-0.12","","DET","WR","82","Rookie","383c8d7f-a817-4096-a6b6-a6b1366d87fb"
"Tory Horton","216","174.9","-0.23","","SEA","WR","83","Rookie","0407fcef-4a8c-4e2f-bef3-779851de306f"
"Andrei Iosivas","217","208","-0.04","185","CIN","WR","84","","d49688f7-ce90-44b2-99ee-0b1c78eec8f3"
"Adonai Mitchell","218","202.8","-0.07","289","IND","WR","85","","0ad724ff-2212-4ec4-8261-793e76298a17"
"KeAndre Lambert-Smith","219","211.7","-0.03","","LAC","WR","86","Rookie","c9fbb50b-4617-4368-b7ac-fd02053ea786"
"Tre' Harris","220","144.3","-0.52","","LAC","WR","87","Rookie","06bb179e-5f55-4679-9f0d-e94d1c5dff0c"
"Jarquez Hunter","221","214.2","-0.03","","LA","RB","69","Rookie","e5efd76e-3450-4e90-b4a4-74a10f8cef0b"
"MarShawn Lloyd","222","215.8","-0.03","","GB","RB","70","","664c1862-20fe-40a8-ac7e-ff868858dcb9"
"Woody Marks","223","185.2","-0.2","","HOU","RB","71","Rookie","1dd1d43a-bb2c-4293-b086-af81f7f8a31f"
"Raheem Mostert","224","215.5","-0.04","202","LV","RB","72","","013d1f80-d88b-47c2-b6b9-d0c833e1cdba"
"Kareem Hunt","225","212.4","-0.06","","KC","RB","73","","011d7af8-9fc6-47e2-b1c7-60ad22188306"
"Justice Hill","226","213.3","-0.06","147","BAL","RB","74","","8f4756df-0eba-4393-bc91-cd38984dcda8"
"Devin Singletary","227","216","-0.05","160","NYG","RB","75","","ca78bb58-7fcc-48a2-9e66-5c5f01a1e0bb"
"Kyle Monangai","228","205.2","-0.11","","CHI","RB","76","Rookie","2521c244-cb3c-497e-b928-9c2f542bb7c3"
"Sean Tucker","229","209.1","-0.1","","TB","RB","77","","89c932e5-9b13-487f-97c6-c23a2864510e"
"Brashard Smith","230","214.3","-0.07","","KC","RB","78","Rookie","edeb9b06-d0b7-44cc-ac47-971fa68ff0a6"
